Customer_ID,Name,Segment,KYC_Status,Primary_Branch,Primary_RM,Total_Balance,Account_Count,Total_Credit,Total_Debit,Transaction_Count,Days_Since_Last_Transaction,Loan_Count,Total_Loan_Amount,Max_DPD,Has_NPA,Complaint_Count,Recent_Complaint_Count,Average_CSAT,Average_Resolution_TAT,Session_Count,Recent_Session_Count,Days_Since_Last_Login,Silent_Churn_Risk_Index,Risk_Band,Primary_Risk_Reason,Secondary_Risk_Reason,Risk_Archetype,Why_At_Risk,Recommended_Action,Dim1_Value,Dim2_Outflow,Dim3_Digital,Dim4_Service,Dim5_Credit,Dim6_Data_Confidence,Is_High_Value,Is_At_Risk,Is_High_Value_At_Risk
CUST_00001,Arjun Reddy,Mass Retail,Failed,BR024,RM_085,26304.2,2,44906.52,106955.65,23,211,0.0,0.0,,,1.0,0.0,5.0,5.0,11,1,65,41.32,Moderate,HIGH_RECENT_OUTFLOW,,B: High Outflow + Weak Supporting Evidence,High recent debit outflow (score: 17/25),Monitor for 30 days; do NOT classify as churn risk without additional signals; investigate purpose of outflow,6.66,16.63,5.89,8.51,1.96,1.67,False,False,False
CUST_00002,Pranav Sharma,Mass Retail,Pending,BR019,RM_026,17954.77,3,77307.32,49224.57,31,42,2.0,6882529.23,27.0,N,0.0,0.0,,,10,1,37,38.51,Moderate,CREDIT_STRESS,,D: Credit Stress Driven Risk,Credit stress (Max DPD: 27.0),Branch credit review; restructuring eligibility check; RM counseling,7.99,14.71,4.0,5.1,5.88,0.83,False,False,False
CUST_00003,Lakshmi Verma,Mass Retail,Completed,BR029,RM_011,74167.07,3,293012.86,85832.09,31,34,0.0,0.0,,,1.0,0.0,4.0,1.0,10,0,280,53.25,High,HIGH_RECENT_OUTFLOW,DIGITAL_ENGAGEMENT_DECLINE,F: No Dominant Archetype,High recent debit outflow (score: 16/25); Declining digital engagement (score: 16/20),Standard monitoring; no immediate action required,9.33,15.81,16.34,9.81,1.96,0.0,False,True,False
CUST_00004,Riya Choudhary,Wealth,Completed,BR007,RM_098,43403.53,1,30635.61,14446.36,13,168,0.0,0.0,,,1.0,0.0,5.0,1.0,12,1,29,33.96,Moderate,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,11.34,9.41,3.78,7.47,1.96,0.0,True,False,False
CUST_00005,Priya Bose,Mass Retail,Completed,BR008,RM_052,21704.09,1,55738.13,38946.08,15,382,1.0,999334.79,6.0,N,2.0,0.0,3.5,2.0,19,2,31,38.27,Moderate,RECENT_SERVICE_FRICTION,,F: No Dominant Archetype,"Service friction (2 complaints, CSAT: 3.5)",Standard monitoring; no immediate action required,6.43,12.92,1.74,12.27,4.91,0.0,False,False,False
CUST_00006,Aditya Kulkarni,Mass Retail,Completed,BR021,RM_092,8414.13,1,19140.66,30250.14,7,272,0.0,0.0,,,0.0,0.0,,,20,0,131,37.38,Moderate,DIGITAL_ENGAGEMENT_DECLINE,,F: No Dominant Archetype,Declining digital engagement (score: 15/20),Standard monitoring; no immediate action required,3.97,11.78,14.57,5.1,1.96,0.0,False,False,False
CUST_00007,Charan Kulkarni,Wealth,Pending,BR026,RM_010,42727.35,1,48323.48,7030321.12,8,303,0.0,0.0,,,1.0,0.0,3.0,14.0,6,1,35,48.56,Moderate,HIGH_RECENT_OUTFLOW,RECENT_SERVICE_FRICTION,F: No Dominant Archetype,"High recent debit outflow (score: 18/25); Service friction (1 complaints, CSAT: 3.0)",Standard monitoring; no immediate action required,11.31,17.8,3.07,13.59,1.96,0.83,True,False,False
CUST_00008,Neha Verma,Privileged,Completed,BR014,RM_055,91830.84,1,98052.69,41743.85,16,589,0.0,0.0,,,0.0,0.0,,,14,1,60,37.29,Moderate,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,10.83,13.26,6.14,5.1,1.96,0.0,False,False,False
CUST_00009,Pooja Sharma,Mass Retail,Completed,BR040,RM_063,29131.8,1,89244.58,55780.42,15,39,0.0,0.0,,,3.0,0.0,3.67,4.0,18,0,162,47.94,Moderate,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,C: Digital Decline + Service Friction,"Declining digital engagement (score: 15/20); Service friction (3 complaints, CSAT: 3.67)",Digital remediation + service recovery; proactive complaint follow-up; app UX review,6.3,11.11,15.19,13.38,1.96,0.0,False,False,False
CUST_00010,Vikas Rao,Mass Retail,Completed,BR002,RM_095,62741.09,1,44977.34,22473.26,8,573,0.0,0.0,,,0.0,0.0,,,15,2,31,26.91,Low,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,7.83,10.6,1.42,5.1,1.96,0.0,False,False,False
CUST_00011,Nandini Singh,Mass Retail,Completed,BR025,RM_073,17075.68,1,19971.4,19559.76,9,161,1.0,3638192.54,120.0,Y,1.0,0.0,4.0,4.0,15,0,216,52.52,High,DIGITAL_ENGAGEMENT_DECLINE,CREDIT_STRESS,C: Digital Decline + Service Friction,Declining digital engagement (score: 16/20); Credit stress (Max DPD: 120.0),Digital remediation + service recovery; proactive complaint follow-up; app UX review,5.94,10.16,15.9,10.54,9.98,0.0,False,True,False
CUST_00012,Varun Agarwal,Mass Retail,Completed,BR007,RM_072,27180.09,2,8257.0,45764.37,19,116,0.0,0.0,,,0.0,0.0,,,14,2,36,29.16,Low,NO_SIGNIFICANT_SIGNAL,,F: No Dominant Archetype,No significant risk signals,Standard monitoring; no immediate action required,6.73,13.69,1.68,5.1,1.96,0.0,False,False,False
