Customer_ID,Name,DOB,PAN,Email,Phone,Address,Segment,KYC_Status,Onboarding_Date
CUST_00178,Charan Gupta,1995-10-26,,charangupta.178@gmail.com,919289635528,"362, Station Road",Mass Retail,Completed,2024-09-08
CUST_00432,Lakshmi Nair,1984-06-25,,lakshminair.432@gmail.com,917575554676,"689, Lake View Road",Mass Retail,,2023-12-04
CUST_00514,Sahil Verma,1981-03-09,,sahilverma.514@outlook.com,919009854524,"943, MG Road",Privileged,Completed,2021-09-06
CUST_00855,Aditya Menon,1965-12-05,,adityamenon.855@yahoo.com,916945750284,"76, Market Road",Mass Retail,Failed,2026-07-01
CUST_01483,Kiran Choudhary,2003-07-06,,kiranchoudhary.1483@outlook.com,918229000250,"884, Market Road",Mass Retail,Completed,2021-04-04
CUST_02342,Dev Sharma,1989-08-11,,devsharma.2342@yahoo.com,919824279662,"865, Market Road",Mass Retail,Completed,2025-07-31
CUST_03932,Srinivas Gupta,1958-10-09,,srinivasgupta.3932@yahoo.com,916307904869,"502, Market Road",Mass Retail,Failed,2024-08-19
CUST_04267,Aarav Kulkarni,2002-01-25,,aaravkulkarni.4267@yahoo.com,919246864594,"447, Market Road",Mass Retail,Pending,2024-02-10
CUST_04605,Varun Bose,1997-03-24,,varunbose.4605@outlook.com,919050969520,"763, Lake View Road",Privileged,Completed,2022-06-23
CUST_04858,Lakshmi Mishra,1981-02-28,,lakshmimishra.4858@apexbankmail.com,917505814579,"690, Market Road",Mass Retail,Completed,2021-05-27
CUST_05353,Priya Reddy,2004-11-12,,priyareddy.5353@outlook.com,916177883491,"375, MG Road",Mass Retail,Completed,2024-08-15
CUST_05465,Shreya Kulkarni,1977-09-17,,shreyakulkarni.5465@outlook.com,917066466268,"846, Market Road",Mass Retail,Completed,2023-09-27
CUST_06209,Sneha Bose,1998-02-14,,snehabose.6209@yahoo.com,917036783671,"353, MG Road",Mass Retail,Completed,2021-04-07
CUST_07481,Ravi Kulkarni,2003-12-02,,ravikulkarni.7481@gmail.com,918055620252,"945, MG Road",Privileged,Completed,2022-01-04
CUST_07516,Arvind Mehta,1984-05-07,,invalid-email,917065494070,"528, Park Street",Mass Retail,Completed,2023-04-06
CUST_07904,Aarav Menon,1968-11-18,,aaravmenon.7904@apexbankmail.com,917814208286,"260, Station Road",Privileged,Completed,2023-03-16
CUST_08012,Nandini Mehta,1969-02-03,,nandinimehta.8012@outlook.com,919448133259,"611, Station Road",Mass Retail,Completed,2021-08-12
CUST_08343,Kiran Menon,1981-01-15,,kiranmenon.8343@outlook.com,918893510295,"499, Station Road",Mass Retail,Completed,2026-02-14
CUST_08704,Kiran Singh,1970-09-01,,kiransingh.8704@gmail.com,917119426985,"184, Park Street",Privileged,Completed,2021-04-01
CUST_08780,Varun Naidu,1993-12-28,,varunnaidu.8780@outlook.com,917763539334,"626, MG Road",Mass Retail,Completed,2022-12-09
