Customer_ID,Name,DOB,PAN,Email,Phone,Address,Segment,KYC_Status,Onboarding_Date
CUST_00084,Deepa Kumar,1984-06-12,ZZIZY1378H,missingdomain,919689668667,"980, Park Street",Mass Retail,Completed,2024-08-02
CUST_00314,Yash Gupta,2001-07-23,OTNXD9972S,invalid-email,919329470564,"49, Park Street",Mass Retail,Failed,2021-01-05
CUST_00521,Meera Rao,1997-04-01,JEVMJ5752M,abc@,916670027234,"389, Park Street",Mass Retail,Completed,2026-04-13
CUST_00689,Sneha Nair,1959-04-22,COIAW9807Y,missingdomain,916400009065,"550, Park Street",Privileged,Completed,2021-06-15
CUST_00770,Rohan Desai,1976-03-19,SPLPW4577W,@gmail.com,919108440558,"686, Market Road",Mass Retail,Completed,2023-12-26
CUST_00802,Vikas Choudhary,1985-12-24,PHWIM2889X,invalid-email,918801937411,"925, Market Road",Mass Retail,Completed,2024-08-19
CUST_00943,Sahil Nair,1974-12-12,MEGOQ4775S,invalid-email,919317328070,"456, Lake View Road",Wealth,Completed,2023-01-01
CUST_01188,Deepa Bose,1952-09-22,BFISF8416T,x@@gmail.com,917916163872,"815, MG Road",Wealth,Pending,2021-06-03
CUST_01309,Pooja Singh,1950-09-10,HNSFT2288R,@gmail.com,916129087828,"410, Station Road",Mass Retail,Completed,2023-12-20
CUST_01433,Harish Iyer,1971-05-15,UPDYN6065A,invalid-email,918883549621,"80, Market Road",Mass Retail,Completed,2025-06-04
CUST_01464,Charan Kulkarni,1998-12-19,DDJUA3921L,invalid-email,918922599393,"302, Lake View Road",Mass Retail,Completed,2025-08-20
CUST_01578,Vikas Desai,2003-09-08,ZWRCJ2668C,invalid-email,916160023601,"547, Park Street",Mass Retail,Completed,2023-06-27
CUST_01595,Priya Menon,1962-09-04,RFCMI4948W,missingdomain,917202725070,"445, Park Street",Mass Retail,Completed,2024-12-15
CUST_01728,Aditi Iyer,1976-09-17,HTDVV3158H,@gmail.com,919984096498,"720, Station Road",Mass Retail,Completed,2022-03-07
CUST_01749,Arjun Joshi,1997-02-08,VHVTT8817Q,abc@,919243981956,"984, Park Street",Mass Retail,Pending,2023-05-09
CUST_01881,Srinivas Choudhary,1962-09-21,QBLCG7851J,invalid-email,916304663896,"997, Market Road",Privileged,Completed,2025-01-21
CUST_01934,Gaurav Choudhary,1988-10-08,XCIXM7336N,abc@,917113674950,"802, Market Road",Mass Retail,Failed,2021-10-03
CUST_02046,Mohan Kumar,1996-01-02,BCBQX2809J,invalid-email,917700973697,"766, Lake View Road",Mass Retail,Completed,2024-07-28
CUST_02055,Riya Verma,1953-10-09,LKQYB8603X,invalid-email,916917674126,"214, Lake View Road",Privileged,Pending,2022-01-19
CUST_02087,Ishita Patel,1982-12-07,YTQAV8720B,missingdomain,917208467300,"155, Market Road",Privileged,Completed,2024-12-17
CUST_02107,Srinivas Menon,1951-04-25,ZIANV7465B,invalid-email,916708711515,"457, Lake View Road",Mass Retail,Completed,2024-03-30
CUST_02255,Mohan Patel,1950-09-17,DZBST8675A,abc@,919390916052,"105, Station Road",Mass Retail,Completed,2024-07-29
CUST_02276,Vikas Mishra,1988-04-21,ZYRHE9287U,invalid-email,919298852963,"178, MG Road",Mass Retail,Pending,2022-11-07
CUST_02641,Nikhil Verma,1967-11-05,PNGGL8292Z,missingdomain,918804908464,"530, Park Street",Privileged,Completed,2026-07-02
CUST_02947,Srinivas Verma,1983-02-15,COTCM6887E,invalid-email,919012075405,"955, Market Road",Mass Retail,Completed,2024-03-29
