Customer_ID,Name,DOB,PAN,Email,Phone,Address,Segment,KYC_Status,Onboarding_Date,Name_raw,PAN_raw,Email_raw,Phone_raw,Segment_raw,KYC_Status_raw
CUST_00001,Arjun Reddy,1996-12-17,ROJCP5330R,arjunreddy.1@gmail.com,+919149632081,"681, Station Road",Mass Retail,Failed,2025-11-09,Arjun Reddy,ROJCP5330R,arjunreddy.1@gmail.com,919149632081,Mass Retail,Failed
CUST_00002,Pranav Sharma,1957-09-18,DMZZU3213N,pranavsharma.2@gmail.com,+916195665456,"347, Station Road",Mass Retail,Pending,2025-11-15,Pranav Sharma,DMZZU3213N,pranavsharma.2@gmail.com,916195665456,Mass Retail,Pending
CUST_00003,Lakshmi Verma,1987-10-01,GKBMO6035W,lakshmiverma.3@apexbankmail.com,+918816366868,"24, Station Road",Mass Retail,Completed,2025-03-14,Lakshmi Verma,GKBMO6035W,lakshmiverma.3@apexbankmail.com,918816366868,Mass Retail,Completed
CUST_00004,Riya Choudhary,2003-08-24,VBCPM7954Y,riyachoudhary.4@outlook.com,+916425558789,"203, Market Road",Wealth,Completed,2023-02-10,Riya Choudhary,VBCPM7954Y,riyachoudhary.4@outlook.com,916425558789,Wealth,Completed
CUST_00005,Priya Bose,1986-08-25,KRGMA6244K,priyabose.5@gmail.com,+916610556939,"958, MG Road",Mass Retail,Completed,2024-11-11,Priya Bose,KRGMA6244K,priyabose.5@gmail.com,916610556939,Mass Retail,Completed
CUST_00006,Aditya Kulkarni,1985-07-25,AQMAO8392E,adityakulkarni.6@apexbankmail.com,+917902255420,"804, Lake View Road",Mass Retail,Completed,2024-10-03,Aditya Kulkarni,AQMAO8392E,adityakulkarni.6@apexbankmail.com,917902255420,Mass Retail,Completed
CUST_00007,Charan Kulkarni,1975-05-07,JYVMA9639V,charankulkarni.7@yahoo.com,+918612090824,"624, MG Road",Wealth,Pending,2024-10-17,Charan Kulkarni,JYVMA9639V,charankulkarni.7@yahoo.com,918612090824,Wealth,Pending
CUST_00008,Neha Verma,1976-11-04,ZZOJP9029K,nehaverma.8@gmail.com,+919067869784,"171, Lake View Road",Privileged,Completed,2022-07-19,Neha Verma,ZZOJP9029K,nehaverma.8@gmail.com,919067869784,Privileged,Completed
CUST_00009,Pooja Sharma,1951-09-23,WXJFL1660I,poojasharma.9@yahoo.com,+917273823706,"630, Lake View Road",Mass Retail,Completed,2025-04-22,Pooja Sharma,WXJFL1660I,poojasharma.9@yahoo.com,917273823706,Mass Retail,Completed
CUST_00010,Vikas Rao,2001-05-14,ESHBT2228G,vikasrao.10@yahoo.com,+919652985282,"862, Market Road",Mass Retail,Completed,2024-04-30,Vikas Rao,ESHBT2228G,vikasrao.10@yahoo.com,919652985282,Mass Retail,Completed
CUST_00011,Nandini Singh,2003-01-21,LSLWQ2420P,nandinisingh.11@yahoo.com,+919167624907,"974, Lake View Road",Mass Retail,Completed,2022-02-13,Nandini Singh,LSLWQ2420P,nandinisingh.11@yahoo.com,919167624907,Mass Retail,Completed
CUST_00012,Varun Agarwal,1992-11-28,ZTFAG6036D,varunagarwal.12@yahoo.com,+916002256082,"542, MG Road",Mass Retail,Completed,2021-04-06,Varun Agarwal,ZTFAG6036D,varunagarwal.12@yahoo.com,916002256082,Mass Retail,Completed
CUST_00013,Nandini Mehta,1988-03-10,NHCUG1437X,nandinimehta.13@gmail.com,+918085818488,"286, Lake View Road",Privileged,Completed,2022-06-14,Nandini Mehta,NHCUG1437X,nandinimehta.13@gmail.com,918085818488,Privileged,Completed
CUST_00014,Arvind Reddy,1955-09-15,NJHRP2066K,arvindreddy.14@gmail.com,+919682373229,"581, Lake View Road",Mass Retail,Pending,2022-12-23,Arvind Reddy,NJHRP2066K,arvindreddy.14@gmail.com,919682373229,Mass Retail,Pending
CUST_00015,Dev Choudhary,1950-05-25,CZLBM7693N,devchoudhary.15@outlook.com,+919213694322,"978, Park Street",Mass Retail,Pending,2023-02-06,Dev Choudhary,CZLBM7693N,devchoudhary.15@outlook.com,919213694322,Mass Retail,Pending
CUST_00016,Divya Agarwal,1952-10-04,JUCYO5419K,divyaagarwal.16@yahoo.com,+916027946678,"773, Park Street",Mass Retail,Completed,2026-07-10,Divya Agarwal,JUCYO5419K,divyaagarwal.16@yahoo.com,916027946678,Mass Retail,Completed
CUST_00017,Yash Naidu,1988-01-23,TLFML6102Q,yashnaidu.17@apexbankmail.com,+918267169398,"901, Market Road",Mass Retail,Completed,2021-02-14,Yash Naidu,TLFML6102Q,yashnaidu.17@apexbankmail.com,918267169398,Mass Retail,Completed
CUST_00018,Vivek Gupta,2004-03-13,LQMKC2776R,vivekgupta.18@outlook.com,+918897171782,"757, Market Road",Mass Retail,Completed,2023-04-26,Vivek Gupta,LQMKC2776R,vivekgupta.18@outlook.com,918897171782,Mass Retail,Completed
CUST_00019,Rakesh Joshi,1964-02-10,SHQKW1490Q,rakeshjoshi.19@yahoo.com,+918953835975,"279, Station Road",Wealth,Completed,2023-02-20,Rakesh Joshi,SHQKW1490Q,rakeshjoshi.19@yahoo.com,918953835975,Wealth,Completed
CUST_00020,Gaurav Joshi,1981-11-04,PSBQR2414K,gauravjoshi.20@apexbankmail.com,+919590205621,"11, MG Road",Mass Retail,Completed,2021-11-11,Gaurav Joshi,PSBQR2414K,gauravjoshi.20@apexbankmail.com,919590205621,Mass Retail,Completed
CUST_00021,Neha Sharma,1956-09-04,YGSBV2373C,nehasharma.21@apexbankmail.com,+919722964061,"199, Park Street",Privileged,Completed,2022-03-02,Neha Sharma,YGSBV2373C,nehasharma.21@apexbankmail.com,919722964061,Privileged,Completed
CUST_00022,Pranav Naidu,2002-03-25,XAQOK4667Z,pranavnaidu.22@apexbankmail.com,+917045616253,"343, Park Street",Mass Retail,Completed,2021-06-23,Pranav Naidu,XAQOK4667Z,pranavnaidu.22@apexbankmail.com,917045616253,Mass Retail,Completed
CUST_00023,Pooja Reddy,1987-07-20,BUHJY1847E,poojareddy.23@gmail.com,+917060628847,"324, Lake View Road",Privileged,Completed,2024-07-05,Pooja Reddy,BUHJY1847E,poojareddy.23@gmail.com,917060628847,Privileged,Completed
CUST_00024,Srinivas Gupta,1952-05-06,YXZGV6297T,srinivasgupta.24@yahoo.com,+916898642511,"286, Lake View Road",Mass Retail,Completed,2024-10-02,Srinivas Gupta,YXZGV6297T,srinivasgupta.24@yahoo.com,916898642511,Mass Retail,Completed
CUST_00025,Yash Choudhary,1996-12-06,AYCAF4062V,yashchoudhary.25@outlook.com,+917463212454,"342, Market Road",Mass Retail,Completed,2021-03-26,Yash Choudhary,AYCAF4062V,yashchoudhary.25@outlook.com,917463212454,Mass Retail,Completed
CUST_00026,Sanjay Kumar,1972-06-08,GGZKB4677B,sanjaykumar.26@outlook.com,+917261621436,"86, Station Road",Privileged,Completed,2023-07-06,Sanjay Kumar,GGZKB4677B,sanjaykumar.26@outlook.com,917261621436,Privileged,Completed
CUST_00027,Arvind Iyer,2000-03-05,ZUXYI1002S,arvindiyer.27@apexbankmail.com,+916815091083,"177, Market Road",Mass Retail,Completed,2025-07-20,Arvind Iyer,ZUXYI1002S,arvindiyer.27@apexbankmail.com,916815091083,Mass Retail,Completed
CUST_00028,Neha Patel,1977-12-07,YHFZO1422Y,nehapatel.28@apexbankmail.com,+919270933761,"557, Station Road",Privileged,Completed,2022-02-11,Neha Patel,YHFZO1422Y,nehapatel.28@apexbankmail.com,919270933761,Privileged,Completed
CUST_00029,Kiran Bose,1971-09-09,TMQZP7802R,kiranbose.29@yahoo.com,+919180079398,"987, Lake View Road",Mass Retail,Completed,2022-12-05,Kiran Bose,TMQZP7802R,kiranbose.29@yahoo.com,919180079398,Mass Retail,Completed
CUST_00030,Sanjay Nair,1964-05-01,KOHOL7514V,sanjaynair.30@yahoo.com,+918038621276,"587, Market Road",Privileged,Completed,2025-08-31,Sanjay Nair,KOHOL7514V,sanjaynair.30@yahoo.com,918038621276,Privileged,Completed
CUST_00031,Pranav Kumar,1975-05-08,MFEHV5000A,pranavkumar.31@yahoo.com,+918189930868,"364, Station Road",Mass Retail,Pending,2022-11-20,Pranav Kumar,MFEHV5000A,pranavkumar.31@yahoo.com,918189930868,Mass Retail,Pending
CUST_00032,Priya Rao,1988-07-09,KRVQE9940U,priyarao.32@outlook.com,+917484789206,"520, MG Road",Wealth,Pending,2022-03-10,Priya Rao,KRVQE9940U,priyarao.32@outlook.com,917484789206,Wealth,Pending
CUST_00033,Pranav Naidu,1977-05-11,URRWT4933S,pranavnaidu.33@outlook.com,+916691328704,"823, Market Road",Mass Retail,Completed,2023-10-26,Pranav Naidu,URRWT4933S,pranavnaidu.33@outlook.com,916691328704,Mass Retail,Completed
CUST_00034,Srinivas Singh,1961-09-05,XKFHY7825V,srinivassingh.34@outlook.com,+918001203058,"44, Lake View Road",Wealth,Completed,2021-02-23,Srinivas Singh,XKFHY7825V,srinivassingh.34@outlook.com,918001203058,Wealth,Completed
CUST_00035,Aditya Patel,1996-08-03,GRLNE8304P,adityapatel.35@apexbankmail.com,+918890759517,"380, Market Road",Mass Retail,,2025-04-24,Aditya Patel,GRLNE8304P,adityapatel.35@apexbankmail.com,918890759517,Mass Retail,
CUST_00036,Deepa Joshi,1959-02-03,BYQLL2332R,deepajoshi.36@apexbankmail.com,+919876523403,"646, Park Street",Mass Retail,Completed,2022-07-23,Deepa Joshi,BYQLL2332R,deepajoshi.36@apexbankmail.com,919876523403,Mass Retail,Completed
CUST_00037,Ananya Mishra,1957-06-21,MQGRN4336K,ananyamishra.37@apexbankmail.com,+919980372709,"873, Lake View Road",Mass Retail,Completed,2022-02-07,Ananya Mishra,MQGRN4336K,ananyamishra.37@apexbankmail.com,919980372709,Mass Retail,Completed
CUST_00038,Karan Joshi,1989-05-16,WXGQQ7182R,karanjoshi.38@gmail.com,+917454285563,"172, Lake View Road",Mass Retail,Completed,2023-12-08,Karan Joshi,WXGQQ7182R,karanjoshi.38@gmail.com,917454285563,Mass Retail,Completed
CUST_00039,Vikas Rao,1957-08-27,MNYXY2858O,vikasrao.39@apexbankmail.com,+919982791349,"558, Park Street",Mass Retail,Completed,2021-07-07,Vikas Rao,MNYXY2858O,vikasrao.39@apexbankmail.com,919982791349,Mass Retail,Completed
CUST_00040,Rahul Bose,1998-03-16,IKAWB2487U,rahulbose.40@gmail.com,+918743780943,"691, Lake View Road",Wealth,Completed,2026-05-09,Rahul Bose,IKAWB2487U,rahulbose.40@gmail.com,918743780943,Wealth,Completed
CUST_00041,Divya Kulkarni,1971-03-23,TOGGS3489P,divyakulkarni.41@apexbankmail.com,+919893011435,"950, Market Road",Mass Retail,Completed,2021-05-06,Divya Kulkarni,TOGGS3489P,divyakulkarni.41@apexbankmail.com,919893011435,Mass Retail,Completed
CUST_00042,Vikas Desai,1973-06-12,CJMPM4687M,vikasdesai.42@gmail.com,+917665355265,"829, Park Street",Mass Retail,Completed,2025-04-14,Vikas Desai,CJMPM4687M,vikasdesai.42@gmail.com,917665355265,Mass Retail,Completed
CUST_00043,Pranav Naidu,1958-03-25,LDIKM6928D,pranavnaidu.43@apexbankmail.com,+918946977978,"901, MG Road",Wealth,Completed,2025-04-27,Pranav Naidu,LDIKM6928D,pranavnaidu.43@apexbankmail.com,918946977978,Wealth,Completed
CUST_00044,Kavya Choudhary,1964-01-09,ZVXKX4072W,kavyachoudhary.44@outlook.com,+918810830880,"184, Lake View Road",Privileged,Completed,2023-03-09,Kavya Choudhary,ZVXKX4072W,kavyachoudhary.44@outlook.com,918810830880,Privileged,Completed
CUST_00045,Shreya Kulkarni,1977-06-02,EHTLG6301W,shreyakulkarni.45@apexbankmail.com,+916225421700,"889, MG Road",Mass Retail,Completed,2022-02-28,Shreya Kulkarni,EHTLG6301W,shreyakulkarni.45@apexbankmail.com,916225421700,Mass Retail,Completed
CUST_00046,Sneha Sharma,1969-05-03,IDIMO5600P,snehasharma.46@apexbankmail.com,+919439379586,"109, Station Road",Mass Retail,Failed,2023-05-10,Sneha Sharma,IDIMO5600P,snehasharma.46@apexbankmail.com,919439379586,Mass Retail,Failed
CUST_00047,Bhavya Naidu,1987-06-05,YMDQX3304P,bhavyanaidu.47@yahoo.com,+918694653292,"64, Lake View Road",Mass Retail,Pending,2026-03-12,Bhavya Naidu,YMDQX3304P,bhavyanaidu.47@yahoo.com,918694653292,Mass Retail,Pending
CUST_00048,Deepa Singh,1969-10-24,KKCEZ2765V,deepasingh.48@apexbankmail.com,+917490163680,"585, MG Road",Privileged,Completed,2022-05-25,Deepa Singh,KKCEZ2765V,deepasingh.48@apexbankmail.com,917490163680,Privileged,Completed
CUST_00049,Pranav Iyer,1988-04-23,SCOBU7222Z,pranaviyer.49@outlook.com,+918576917814,"61, MG Road",Mass Retail,Completed,2023-03-19,Pranav Iyer,SCOBU7222Z,pranaviyer.49@outlook.com,918576917814,Mass Retail,Completed
CUST_00050,Ishita Sharma,1984-12-22,GUXKS9288F,ishitasharma.50@yahoo.com,+916181670940,"16, Station Road",Mass Retail,Completed,2022-04-13,Ishita Sharma,GUXKS9288F,ishitasharma.50@yahoo.com,916181670940,Mass Retail,Completed
CUST_00051,Priya Rao,1959-11-08,KVOOS7725X,priyarao.51@yahoo.com,+917515910951,"395, MG Road",Mass Retail,Pending,2024-04-01,Priya Rao,KVOOS7725X,priyarao.51@yahoo.com,917515910951,Mass Retail,Pending
CUST_00052,Karan Patel,1992-04-20,YBPDY9191C,karanpatel.52@gmail.com,+917537700015,"566, Station Road",Mass Retail,Completed,2022-12-21,Karan Patel,YBPDY9191C,karanpatel.52@gmail.com,917537700015,Mass Retail,Completed
CUST_00053,Varun Joshi,1959-08-01,BKGOP2107P,varunjoshi.53@apexbankmail.com,+917726775947,"957, Station Road",Mass Retail,Completed,2026-06-17,Varun Joshi,BKGOP2107P,varunjoshi.53@apexbankmail.com,917726775947,Mass Retail,Completed
CUST_00054,Pooja Desai,2004-04-16,TEWXN5172K,poojadesai.54@gmail.com,+918352292690,"897, Lake View Road",Mass Retail,Completed,2022-12-11,Pooja Desai,TEWXN5172K,poojadesai.54@gmail.com,918352292690,Mass Retail,Completed
CUST_00055,Arvind Kulkarni,2004-10-21,LDBKL9463X,arvindkulkarni.55@outlook.com,+918484261525,"108, Park Street",Mass Retail,Completed,2025-01-07,Arvind Kulkarni,LDBKL9463X,arvindkulkarni.55@outlook.com,918484261525,Mass Retail,Completed
CUST_00056,Neha Kumar,1958-06-28,PYWKF1096U,nehakumar.56@yahoo.com,+918433094810,"57, MG Road",Mass Retail,Completed,2022-10-26,Neha Kumar,PYWKF1096U,nehakumar.56@yahoo.com,918433094810,Mass Retail,Completed
CUST_00057,Riya Rao,1953-12-14,MGZJC1406S,riyarao.57@gmail.com,+919851841416,"457, Lake View Road",Mass Retail,Completed,2025-07-20,Riya Rao,MGZJC1406S,riyarao.57@gmail.com,919851841416,Mass Retail,Completed
CUST_00058,Aditi Nair,1955-05-07,OFMNA3253N,aditinair.58@apexbankmail.com,+916570177172,"881, MG Road",Privileged,Completed,2023-12-26,Aditi Nair,OFMNA3253N,aditinair.58@apexbankmail.com,916570177172,Privileged,Completed
CUST_00059,Vivek Joshi,1969-12-09,IRUSL1855W,vivekjoshi.59@apexbankmail.com,+919193588748,"64, Park Street",Mass Retail,Completed,2022-10-15,Vivek Joshi,IRUSL1855W,vivekjoshi.59@apexbankmail.com,919193588748,Mass Retail,Completed
CUST_00060,Sahil Joshi,1948-05-11,BJVYO1115U,sahiljoshi.60@apexbankmail.com,+918373128630,"979, Station Road",Mass Retail,Completed,2025-12-07,Sahil Joshi,BJVYO1115U,sahiljoshi.60@apexbankmail.com,918373128630,Mass Retail,Completed
CUST_00061,Rahul Singh,1970-11-09,UYLVS9039X,rahulsingh.61@gmail.com,+916837210397,"803, Lake View Road",Mass Retail,Completed,2025-03-30,Rahul Singh,UYLVS9039X,rahulsingh.61@gmail.com,916837210397,Mass Retail,Completed
CUST_00062,Yash Desai,1994-04-16,AIIXO6481X,yashdesai.62@yahoo.com,+917553441871,"660, Market Road",Mass Retail,Completed,2021-12-14,Yash Desai,AIIXO6481X,yashdesai.62@yahoo.com,917553441871,Mass Retail,Completed
CUST_00063,Aditya Kumar,1963-05-22,FBCAU4490R,adityakumar.63@gmail.com,+917978591026,"260, Station Road",Mass Retail,Completed,2022-04-11,Aditya Kumar,FBCAU4490R,adityakumar.63@gmail.com,917978591026,Mass Retail,Completed
CUST_00064,Deepa Mishra,1952-05-23,QSBGO1407G,deepamishra.64@apexbankmail.com,+917461575823,"552, Park Street",Mass Retail,Completed,2024-11-04,Deepa Mishra,QSBGO1407G,deepamishra.64@apexbankmail.com,917461575823,Mass Retail,Completed
CUST_00065,Aditya Mishra,1959-06-05,HJSRP1633S,adityamishra.65@outlook.com,+919185149182,"164, Market Road",Privileged,Completed,2026-05-27,Aditya Mishra,HJSRP1633S,adityamishra.65@outlook.com,919185149182,Privileged,Completed
CUST_00066,Arvind Mehta,1986-09-01,MTLZD7798L,arvindmehta.66@apexbankmail.com,+919367426611,"179, Station Road",Mass Retail,Completed,2023-04-20,Arvind Mehta,MTLZD7798L,arvindmehta.66@apexbankmail.com,919367426611,Mass Retail,Completed
CUST_00067,Bhavya Choudhary,1992-07-07,QWTEC7597E,bhavyachoudhary.67@yahoo.com,+917168390554,"318, MG Road",Wealth,Completed,2021-03-16,Bhavya Choudhary,QWTEC7597E,bhavyachoudhary.67@yahoo.com,917168390554,Wealth,Completed
CUST_00068,Yash Bose,1953-10-19,SBOVQ2289Z,yashbose.68@outlook.com,+916380202090,"906, MG Road",Privileged,Completed,2026-05-05,Yash Bose,SBOVQ2289Z,yashbose.68@outlook.com,916380202090,Privileged,Completed
CUST_00069,Pranav Choudhary,1990-05-13,KBFNO6089N,pranavchoudhary.69@yahoo.com,+916372616846,"44, Market Road",Mass Retail,Completed,2024-10-23,Pranav Choudhary,KBFNO6089N,pranavchoudhary.69@yahoo.com,916372616846,Mass Retail,Completed
CUST_00070,Manish Menon,2002-07-02,VGWYH5498H,manishmenon.70@yahoo.com,+918589941747,"69, Park Street",Privileged,Completed,2024-12-11,Manish Menon,VGWYH5498H,manishmenon.70@yahoo.com,918589941747,Privileged,Completed
CUST_00071,Ravi Verma,1988-01-20,VMKON7916Y,raviverma.71@yahoo.com,+918006204345,"963, MG Road",Mass Retail,Completed,2025-09-30,Ravi Verma,VMKON7916Y,raviverma.71@yahoo.com,918006204345,Mass Retail,Completed
