Customer_ID,Name,Segment,Total_Balance,Silent_Churn_Risk_Index,Risk_Band,Primary_Risk_Reason,Secondary_Risk_Reason,Why_At_Risk,Risk_Archetype,Recommended_Action,Dim1_Value,Dim2_Outflow,Dim3_Digital,Dim4_Service,Dim5_Credit,Dim6_Data_Confidence
CUST_00001,Arjun Reddy,Mass Retail,26304.2,41.32,Moderate,HIGH_RECENT_OUTFLOW,,High recent debit outflow (score: 17/25),B: High Outflow + Weak Supporting Evidence,Monitor for 30 days; do NOT classify as churn risk without additional signals; investigate purpose of outflow,6.66,16.63,5.89,8.51,1.96,1.67
CUST_00002,Pranav Sharma,Mass Retail,17954.77,38.51,Moderate,CREDIT_STRESS,,Credit stress (Max DPD: 27.0),D: Credit Stress Driven Risk,Branch credit review; restructuring eligibility check; RM counseling,7.99,14.71,4.0,5.1,5.88,0.83
CUST_00003,Lakshmi Verma,Mass Retail,74167.07,53.25,High,HIGH_RECENT_OUTFLOW,DIGITAL_ENGAGEMENT_DECLINE,High recent debit outflow (score: 16/25); Declining digital engagement (score: 16/20),F: No Dominant Archetype,Standard monitoring; no immediate action required,9.33,15.81,16.34,9.81,1.96,0.0
CUST_00004,Riya Choudhary,Wealth,43403.53,33.96,Moderate,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,11.34,9.41,3.78,7.47,1.96,0.0
CUST_00005,Priya Bose,Mass Retail,21704.09,38.27,Moderate,RECENT_SERVICE_FRICTION,,"Service friction (2 complaints, CSAT: 3.5)",F: No Dominant Archetype,Standard monitoring; no immediate action required,6.43,12.92,1.74,12.27,4.91,0.0
CUST_00006,Aditya Kulkarni,Mass Retail,8414.13,37.38,Moderate,DIGITAL_ENGAGEMENT_DECLINE,,Declining digital engagement (score: 15/20),F: No Dominant Archetype,Standard monitoring; no immediate action required,3.97,11.78,14.57,5.1,1.96,0.0
CUST_00007,Charan Kulkarni,Wealth,42727.35,48.56,Moderate,HIGH_RECENT_OUTFLOW,RECENT_SERVICE_FRICTION,"High recent debit outflow (score: 18/25); Service friction (1 complaints, CSAT: 3.0)",F: No Dominant Archetype,Standard monitoring; no immediate action required,11.31,17.8,3.07,13.59,1.96,0.83
CUST_00008,Neha Verma,Privileged,91830.84,37.29,Moderate,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,10.83,13.26,6.14,5.1,1.96,0.0
CUST_00009,Pooja Sharma,Mass Retail,29131.8,47.94,Moderate,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 15/20); Service friction (3 complaints, CSAT: 3.67)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,6.3,11.11,15.19,13.38,1.96,0.0
CUST_00010,Vikas Rao,Mass Retail,62741.09,26.91,Low,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,7.83,10.6,1.42,5.1,1.96,0.0
CUST_00011,Nandini Singh,Mass Retail,17075.68,52.52,High,DIGITAL_ENGAGEMENT_DECLINE,CREDIT_STRESS,Declining digital engagement (score: 16/20); Credit stress (Max DPD: 120.0),C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,5.94,10.16,15.9,10.54,9.98,0.0
CUST_00012,Varun Agarwal,Mass Retail,27180.09,29.16,Low,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,6.73,13.69,1.68,5.1,1.96,0.0
CUST_00013,Nandini Mehta,Privileged,135150.49,40.72,Moderate,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,12.7,12.57,2.95,10.54,1.96,0.0
CUST_00014,Arvind Reddy,Mass Retail,7935.19,32.5,Moderate,RECENT_SERVICE_FRICTION,LOW_CSAT,"Service friction (1 complaints, CSAT: 2.0)",F: No Dominant Archetype,Standard monitoring; no immediate action required,3.89,9.65,1.94,14.23,1.96,0.83
CUST_00015,Dev Choudhary,Mass Retail,13202.53,36.27,Moderate,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,4.72,13.16,6.02,9.58,1.96,0.83
CUST_00016,Divya Agarwal,Mass Retail,26192.78,28.4,Low,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,6.05,8.84,6.45,5.1,1.96,0.0
CUST_00017,Yash Naidu,Mass Retail,23702.91,49.5,Moderate,DIGITAL_ENGAGEMENT_DECLINE,,Declining digital engagement (score: 17/20),C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,6.47,13.24,16.68,11.15,1.96,0.0
CUST_00018,Vivek Gupta,Mass Retail,49385.09,36.81,Moderate,RECENT_SERVICE_FRICTION,,"Service friction (1 complaints, CSAT: 3.0)",F: No Dominant Archetype,Standard monitoring; no immediate action required,7.41,8.14,7.05,12.25,1.96,0.0
CUST_00019,Rakesh Joshi,Wealth,707461.2,67.94,High,HIGH_RECENT_OUTFLOW,DIGITAL_ENGAGEMENT_DECLINE,"High recent debit outflow (score: 17/25); Declining digital engagement (score: 16/20); Service friction (6 complaints, CSAT: 3.33); High-value customer (Balance: ₹707,461)",A: High Value + Multi-Signal Risk,Priority RM outreach within 48 hours; personalized retention offer; fee waiver review,15.66,16.69,15.67,15.88,4.04,0.0
CUST_00020,Gaurav Joshi,Mass Retail,264448.69,55.93,High,HIGH_RECENT_OUTFLOW,DIGITAL_ENGAGEMENT_DECLINE,"High recent debit outflow (score: 16/25); Declining digital engagement (score: 16/20); Service friction (2 complaints, CSAT: 4.5)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,9.64,16.37,15.62,12.34,1.96,0.0
CUST_00021,Neha Sharma,Privileged,9198.25,50.64,High,HIGH_RECENT_OUTFLOW,DIGITAL_ENGAGEMENT_DECLINE,High recent debit outflow (score: 17/25); Declining digital engagement (score: 14/20),C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,6.5,17.27,14.37,10.54,1.96,0.0
CUST_00022,Pranav Naidu,Mass Retail,2419.5,45.99,Moderate,DIGITAL_ENGAGEMENT_DECLINE,RECENT_SERVICE_FRICTION,"Declining digital engagement (score: 13/20); Service friction (1 complaints, CSAT: 2.0); Credit stress (Max DPD: 12.0)",C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,3.52,9.0,13.48,14.51,5.48,0.0
CUST_00023,Pooja Reddy,Privileged,244121.55,37.95,Moderate,NO_SIGNIFICANT_SIGNAL,,No significant risk signals,F: No Dominant Archetype,Standard monitoring; no immediate action required,11.98,13.45,5.46,5.1,1.96,0.0
CUST_00024,Srinivas Gupta,Mass Retail,7475.83,42.56,Moderate,DIGITAL_ENGAGEMENT_DECLINE,,Declining digital engagement (score: 16/20),C: Digital Decline + Service Friction,Digital remediation + service recovery; proactive complaint follow-up; app UX review,3.79,9.93,15.73,11.15,1.96,0.0
